rep_id,trial,acq_type,De_sigma_MoS,De_pi_MoS,p_be1_MoS,p_be2_MoS,p_bo1_MoS,p_bo2_MoS,p_bo3_MoS,p_bo4_MoS,p_bo5_MoS,p_bo6_MoS,p_ovun1_MoS,Dij_MoS,RvdW_MoS,Alfa_MoS,ro_sigma_MoS,Thetao_SMoS,Thetao_MoSMo,p_val1_SMoS,p_val1_MoSMo,p_val2_SMoS,p_val7_SMoS,p_val4_SMoS,Mo_RvdW,Mo_Dij,Mo_gamma,Mo_Alfa,Mo_gamma_w,S_RvdW,S_Dij,S_gamma,S_Alfa,S_gamma_w,Mo_p_boc4,Mo_p_boc3,Mo_p_boc5,Mo_p_ovun2,Mo_p_val3,Mo_p_val5,S_p_ovun2,S_p_val3,loss_eV
55,55,EI,33.051573,154.132420,0.235391,1.373978,-0.237941,4.212679,-0.121526,9.181069,-0.268666,4.694210,0.069620,0.056270,0.994775,7.841245,2.761175,65.300789,26.493940,116.059071,16.880448,1.153664,0.437349,1.789568,0.828648,0.208687,0.335953,33.370458,62.276852,1.461120,0.038632,0.877240,11.160520,1.052077,1.023501,0.084898,1.175831,-23.375950,0.445200,0.629740,-12.582211,3.177393,4.797154
56,56,Thompson,34.513486,127.166359,0.286517,1.952802,-0.219722,3.670414,-0.153809,5.178949,-0.121062,1.561591,0.032119,0.059669,1.017839,7.670756,3.088611,70.987714,22.347783,145.766551,20.624904,0.717842,0.429154,1.718882,0.860462,0.210656,0.337231,35.350285,52.164885,1.611980,0.029505,0.831413,8.842940,0.984554,0.772287,0.060396,0.723723,-14.225040,0.516453,0.596162,-12.442013,2.809167,3.990128
57,57,Thompson,34.374276,118.930691,0.218831,0.689234,-0.229262,5.861670,-0.194407,5.655887,-0.233482,3.573250,0.062017,0.066279,1.073777,8.434720,2.769159,70.527399,22.614062,131.431504,27.546668,0.917533,0.401264,1.734076,0.857034,0.262622,0.321748,32.909620,47.240074,1.511153,0.032787,0.695965,9.428315,0.830755,1.290856,0.045632,0.885637,-14.042659,0.654656,0.725755,-12.496508,3.176174,4.891917
58,58,EI,37.598210,82.994380,0.299540,0.643550,-0.243270,6.162885,-0.262820,10.886250,-0.286560,4.694210,0.077010,0.059341,1.026457,8.533460,2.761175,71.357872,26.493940,112.280959,16.880448,0.915065,0.322140,1.090518,0.811972,0.191400,0.277376,29.374664,62.276852,1.440644,0.032064,0.884695,11.160520,1.074980,0.683475,0.085684,0.885599,-23.375950,0.575054,0.802272,-19.670375,2.246556,5.228694
59,59,EI,24.592165,82.994380,0.275251,0.643550,-0.126140,4.343757,-0.142921,7.022664,-0.286560,2.061056,0.046212,0.050660,1.122768,6.678360,3.109955,63.355120,25.415721,158.976250,18.989112,0.918128,0.339762,1.626440,0.851048,0.251804,0.277376,38.387345,41.858212,1.624556,0.039341,0.676984,8.540224,0.902183,1.356497,0.109440,0.605150,-22.311243,0.506658,0.802272,-19.670375,2.602226,5.081772
60,60,EI,37.598210,82.994380,0.232509,0.643550,-0.126140,3.195570,-0.098056,4.354500,-0.286560,3.878282,0.022650,0.050660,1.122768,6.678360,3.053694,63.355120,22.158568,147.585291,27.701248,0.985303,0.322140,1.419696,0.811972,0.195113,0.277376,29.374664,49.608273,1.624556,0.029202,0.756857,8.581840,1.074980,1.577250,0.109440,0.711724,-15.493762,0.571610,0.802272,-12.274314,3.600250,5.186202
61,61,LCB,28.225301,105.038494,0.165274,1.685048,-0.143237,4.902371,-0.117786,9.349869,-0.156214,2.134326,0.069403,0.051994,0.985357,7.813175,2.903693,63.872983,26.447962,145.435773,24.159368,0.917528,0.468431,1.784381,0.818184,0.328442,0.286546,29.575094,44.607489,1.618072,0.033639,0.681739,10.303967,0.928031,1.220572,0.084585,0.777340,-23.318911,0.766293,0.640457,-13.444531,3.046739,4.465614
62,62,LCB,32.850672,150.280229,0.182650,1.476017,-0.154959,4.043005,-0.129347,5.734245,-0.199549,1.676247,0.027583,0.059457,1.098224,7.935930,3.014068,66.068493,25.183492,111.039505,25.721613,0.887930,0.414579,1.145909,0.888827,0.280824,0.355162,29.538382,41.866380,1.576547,0.037108,0.828724,9.192641,0.806471,1.017791,0.079242,0.993060,-14.839310,0.461391,0.791702,-14.341434,3.067868,4.453075
63,63,LCB,35.453938,139.744952,0.193797,0.862287,-0.239539,4.868395,-0.102810,8.082503,-0.206580,4.043474,0.041473,0.069614,1.051236,7.035203,2.847795,69.300530,23.079395,129.961387,24.291214,0.831714,0.464741,1.708650,0.891534,0.317056,0.324162,36.855229,51.771225,1.445505,0.030475,0.763928,10.137547,0.781408,1.495689,0.078627,0.941036,-15.627330,0.747955,0.782023,-12.367292,2.527562,4.962027
64,64,LCB,36.394018,122.393611,0.288525,2.128738,-0.168601,5.330613,-0.226614,6.174316,-0.218815,2.243138,0.073844,0.065003,1.074661,7.546931,3.067521,63.532246,23.976984,162.344000,25.115202,0.926282,0.402361,1.784533,0.876528,0.325514,0.315625,38.080656,55.385815,1.467355,0.041853,0.741106,9.280478,0.847235,0.993812,0.047087,0.865517,-23.367962,0.771342,0.747089,-15.388830,3.371055,3.747758
65,65,LCB,26.125775,148.097166,0.272786,1.301330,-0.126249,4.089154,-0.097065,8.736706,-0.126232,3.184427,0.058398,0.068816,0.984986,7.536681,2.764401,65.830179,25.534196,132.431276,18.983671,0.870898,0.335347,1.686953,0.917559,0.270502,0.295674,37.113960,50.582563,1.602984,0.035148,0.796816,10.158857,0.790775,0.764714,0.058572,0.936961,-20.260873,0.562030,0.665255,-14.626289,3.420525,4.490833
66,66,LCB,33.441280,141.898691,0.224212,0.932599,-0.202395,3.816807,-0.261121,7.339057,-0.190739,3.607604,0.076668,0.058383,1.017804,7.898265,3.057586,69.915869,24.291241,112.169992,23.566568,1.085902,0.349890,1.648393,0.848308,0.267039,0.339014,29.831019,58.276093,1.611062,0.035044,0.852651,9.170063,1.071962,1.015032,0.037226,0.761210,-18.249198,0.537037,0.774347,-13.542572,2.273519,4.560061
67,67,LCB,21.865690,101.765706,0.227411,2.120021,-0.189636,5.620175,-0.242258,4.849561,-0.211766,2.800150,0.024968,0.054355,1.093216,8.273614,2.880191,69.409555,24.153468,118.955822,19.099127,0.945446,0.500520,1.625343,0.844824,0.218603,0.283231,31.785906,44.573530,1.620284,0.039133,0.698079,10.324313,0.855094,0.877160,0.072282,0.862041,-14.178085,0.517644,0.788884,-13.977801,3.069665,5.490305
68,68,LCB,28.807023,111.277381,0.123384,1.342073,-0.228600,3.408827,-0.203410,10.136833,-0.121185,4.158020,0.033688,0.067112,1.042077,7.512425,2.794257,66.168973,25.945581,149.282873,22.802360,0.968785,0.423362,1.495571,0.859318,0.224659,0.348753,32.548337,50.809052,1.591941,0.030550,0.869149,9.985998,1.015529,0.950323,0.057042,0.995506,-19.272943,0.500481,0.555936,-13.928972,2.669344,4.753328
69,69,LCB,20.713331,103.326980,0.173633,1.201943,-0.232348,3.528504,-0.159482,7.186593,-0.136569,4.571294,0.036940,0.055585,1.017654,7.942665,2.828656,67.762442,24.680023,148.834564,19.904284,0.705239,0.352227,1.622021,0.910058,0.238076,0.334463,31.537237,43.218428,1.485812,0.028677,0.678645,9.590946,0.934231,1.528142,0.049629,1.294731,-18.421013,0.445553,0.767023,-17.116637,2.630247,5.178558
